,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
8,Madison Greene,8,0,1,0.0,0,1,0.0,0,0,,0,0,,2,0,2,0,0,0,1,0,0,ohio-state,2023-12-18-18-ohio-state
9,Emma Shumate,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,ohio-state,2023-12-18-18-ohio-state
0,Kilyn McGuff,32,2,10,0.2,2,4,0.5,0,6,0.0,0,0,,0,6,6,2,1,0,2,2,4,belmont,2023-12-22-13-ohio-state
1,Tuti Jones,31,1,7,0.143,0,3,0.0,1,4,0.25,0,0,,2,3,5,4,5,0,3,2,3,belmont,2023-12-22-13-ohio-state
2,Tessa Miller,27,6,10,0.6,6,10,0.6,0,0,,3,4,0.75,2,0,2,3,0,0,6,2,15,belmont,2023-12-22-13-ohio-state
3,Jailyn Banks,26,1,7,0.143,1,5,0.2,0,2,0.0,5,6,0.833,1,1,2,3,2,0,5,2,7,belmont,2023-12-22-13-ohio-state
4,Kendal Cheesman,25,5,9,0.556,2,2,1.0,3,7,0.429,0,0,,1,3,4,0,0,1,3,2,13,belmont,2023-12-22-13-ohio-state
6,Carmyn Harrison,20,3,4,0.75,3,4,0.75,0,0,,0,0,,0,1,1,2,2,0,2,1,6,belmont,2023-12-22-13-ohio-state
7,Blair Schoenwald,18,1,2,0.5,0,0,,1,2,0.5,2,2,1.0,0,1,1,0,0,0,0,0,5,belmont,2023-12-22-13-ohio-state
8,Kate Hollifield,10,0,1,0.0,0,0,,0,1,0.0,0,0,,1,1,2,0,0,0,1,1,0,belmont,2023-12-22-13-ohio-state
9,Kensley Feltner,5,0,1,0.0,0,0,,0,1,0.0,2,2,1.0,0,1,1,0,1,0,1,0,2,belmont,2023-12-22-13-ohio-state
10,Claire Hyde,5,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,belmont,2023-12-22-13-ohio-state
0,Jacy Sheldon,36,12,18,0.667,7,9,0.778,5,9,0.556,2,4,0.5,0,2,2,3,2,0,4,1,31,ohio-state,2023-12-22-13-ohio-state
1,Celeste Taylor,27,5,10,0.5,2,5,0.4,3,5,0.6,2,2,1.0,3,2,5,1,1,1,2,2,15,ohio-state,2023-12-22-13-ohio-state
2,Taylor Thierry,26,4,6,0.667,3,4,0.75,1,2,0.5,0,2,0.0,3,6,9,3,1,2,0,4,9,ohio-state,2023-12-22-13-ohio-state
