team_id,game,date_str,time,type,site,opp,conf,srs,team_result,team_pts,opp_pts,ot,win_num,loss_num,streak,arena
6,12,Wed Dec 20 2023,2:00p,REG,,James Madison,Sun Belt,4.66,W,78,55,,9,3,W 7,Xfinity Center
6,13,Sun Dec 31 2023,2:30p,REG,@,Nebraska,Big Ten,22.52,L,81,87,,9,4,L 1,Pinnacle Bank Arena
6,14,Wed Jan 3 2024,8:00p,REG,@,Minnesota,Big Ten,16.38,W,72,64,,10,4,W 1,Williams Arena
6,15,Tue Jan 9 2024,6:00p,REG,@,Michigan State,Big Ten,28.21,L,69,74,,10,5,L 1,Breslin Student Events Center
6,16,Sun Jan 14 2024,12:00p,REG,,Purdue,Big Ten,14.46,W,88,66,,11,5,W 1,Xfinity Center
6,17,Wed Jan 17 2024,7:00p,REG,,Ohio State (18),Big Ten,34.28,L,76,84,,11,6,L 1,Xfinity Center
6,18,Sat Jan 20 2024,1:00p,REG,,Illinois,Big Ten,19.38,W,90,82,,12,6,W 1,Xfinity Center
6,19,Wed Jan 24 2024,7:00p,REG,@,Michigan,Big Ten,18.99,L,77,79,OT,12,7,L 1,Crisler Center
6,20,Sun Jan 28 2024,1:00p,REG,@,Penn State,Big Ten,25.4,L,76,112,,12,8,L 2,Bryce Jordan Center
6,21,Wed Jan 31 2024,7:00p,REG,,Indiana (10),Big Ten,30.25,L,73,87,,12,9,L 3,Xfinity Center
6,22,Sat Feb 3 2024,8:00p,REG,,Iowa (3),Big Ten,37.03,L,85,93,,12,10,L 4,Xfinity Center
6,23,Tue Feb 6 2024,8:30p,REG,@,Rutgers,Big Ten,3.79,W,67,59,,13,10,W 1,Jersey Mike's Arena
6,24,Sun Feb 11 2024,3:00p,REG,@,Illinois,Big Ten,19.38,W,69,53,,14,10,W 2,State Farm Center
6,25,Sun Feb 18 2024,1:00p,REG,,Penn State,Big Ten,25.4,W,77,62,,15,10,W 3,Xfinity Center
6,26,Wed Feb 21 2024,7:00p,REG,,Rutgers,Big Ten,3.79,W,81,62,,16,10,W 4,Xfinity Center
6,27,Sun Feb 25 2024,2:00p,REG,@,Ohio State (2),Big Ten,34.28,L,66,79,,16,11,L 1,Value City Arena
6,28,Thu Feb 29 2024,6:00p,REG,,Wisconsin,Big Ten,7.62,W,79,63,,17,11,W 1,Xfinity Center
6,29,Sun Mar 3 2024,3:00p,REG,@,Indiana (14),Big Ten,30.25,L,54,71,,17,12,L 1,Simon Skjodt Assembly Hall
6,30,Thu Mar 7 2024,12:30p,REG,N,Illinois,Big Ten,19.38,,,,,,,,Target Center
7,1,Mon Nov 6 2023,7:00p,REG,,Purdue Fort Wayne,Horizon,-0.17,W,80,61,,1,0,W 1,Crisler Center
7,2,Tue Nov 14 2023,7:00p,REG,,Oakland,Horizon,-9.04,W,80,39,,2,0,W 2,Crisler Center
7,3,Sat Nov 18 2023,5:00p,REG,N,Middle Tennessee,CUSA,17.33,W,63,49,,3,0,W 3,Imperial Arena at Atlantis Resort
7,4,Sun Nov 19 2023,2:30p,REG,N,South Dakota,Summit,1.2,W,70,52,,4,0,W 4,Imperial Arena at Atlantis Resort
7,5,Mon Nov 20 2023,12:00p,REG,N,Mississippi (24),SEC,21.27,L,49,60,,4,1,L 1,Imperial Arena at Atlantis Resort
7,6,Fri Nov 24 2023,1:00p,REG,,Eastern Michigan,MAC,-15.85,W,80,44,,5,1,W 1,Crisler Center
7,7,Wed Nov 29 2023,7:00p,REG,,Southern Illinois-Edwardsville,OVC,-17.56,W,103,59,,6,1,W 2,Crisler Center
7,8,Sat Dec 2 2023,2:00p,REG,@,Harvard,Ivy,7,W,80,66,,7,1,W 3,Lavietes Pavilion
7,9,Wed Dec 6 2023,5:00p,REG,@,Toledo,MAC,10.97,L,46,69,,7,2,L 1,Savage Arena
7,10,Sun Dec 10 2023,3:00p,REG,@,Illinois,Big Ten,19.38,W,84,48,,8,2,W 1,State Farm Center
7,11,Sat Dec 16 2023,11:00a,REG,,Miami (OH),MAC,-13.3,W,75,49,,9,2,W 2,Crisler Center
7,12,Wed Dec 20 2023,6:30p,REG,N,Florida,SEC,16.51,L,65,82,,9,3,L 1,Spectrum Center
7,13,Fri Dec 22 2023,1:00p,REG,,Florida A&M,SWAC,-16.68,W,77,35,,10,3,W 1,Crisler Center
7,14,Sat Dec 30 2023,12:00p,REG,,Ohio State (17),Big Ten,34.28,W,69,60,,11,3,W 2,Crisler Center
7,15,Thu Jan 4 2024,7:00p,REG,@,Indiana (14),Big Ten,30.25,L,59,80,,11,4,L 1,Simon Skjodt Assembly Hall
7,16,Tue Jan 9 2024,8:00p,REG,,Minnesota,Big Ten,16.38,L,66,82,,11,5,L 2,Crisler Center
7,17,Sat Jan 13 2024,2:00p,REG,,Wisconsin,Big Ten,7.62,W,76,52,,12,5,W 1,Crisler Center
7,18,Wed Jan 17 2024,8:00p,REG,@,Nebraska,Big Ten,22.52,L,43,62,,12,6,L 1,Pinnacle Bank Arena
7,19,Sun Jan 21 2024,2:00p,REG,@,Rutgers,Big Ten,3.79,W,56,50,,13,6,W 1,Jersey Mike's Arena
